origin_zone,destination_zone,trip_count,private,public,other,mixed,non_motorized,distance
785,500,59.876740000000005,0.0,1.0,0.0,0.0,0.0,
785,786,520.19768,0.9148612504384871,0.08513874956151285,0.0,0.0,0.0,
791,791,545.8833,0.0,0.19681056372305217,0.0,0.0,0.8031894362769479,
783,13,72.34246999999999,0.0,1.0,0.0,0.0,0.0,
783,783,1288.51647,0.04324549301259611,0.021761491337398273,0.0,0.0,0.9349930156500056,
786,785,,,,,,,
786,786,,,,,,,
786,13,950.49,0.0,0.31011646624372696,0.0,0.6898835337562731,0.0,
783,786,222.79862000000003,0.6984866872155671,0.17629076876688013,0.12522254401755267,0.0,0.0,
786,126,,,,,,,
785,785,22.676660000000002,0.0,0.0,1.0,0.0,0.0,
786,26,,,,,,,
783,999,213.1779,0.0,0.0,1.0,0.0,0.0,
786,783,,,,,,,
792,792,,,,,,,
786,792,640.4209,0.0,0.0,0.0,0.0,1.0,
785,789,113.6449,0.0,0.0,0.0,0.0,1.0,
783,639,58.51429,0.0,1.0,0.0,0.0,0.0,
792,999,,,,,,,
792,786,,,,,,,
785,18,56.79066,0.0,1.0,0.0,0.0,0.0,
786,15,,,,,,,
999,786,,,,,,,
786,789,366.3763,0.0,0.0,1.0,0.0,0.0,
792,788,51.6174,0.0,1.0,0.0,0.0,0.0,
0,785,664.263,0.0,1.0,0.0,0.0,0.0,
784,643,551.5707,0.0,1.0,0.0,0.0,0.0,
786,639,1595.4355,1.0,0.0,0.0,0.0,0.0,
783,789,399.22203,0.0,0.47763103153400627,0.5223689684659937,0.0,0.0,
783,792,,,,,,,
783,256,88.03748000000002,1.0,0.0,0.0,0.0,0.0,
784,789,354.0339,1.0,0.0,0.0,0.0,0.0,
785,999,22.676660000000002,0.0,0.0,0.0,0.0,1.0,
791,786,137.2578,0.0,1.0,0.0,0.0,0.0,
791,690,85.79597,0.0,1.0,0.0,0.0,0.0,
791,498,107.133,0.0,1.0,0.0,0.0,0.0,
799,0,62.91061,0.42472215735946606,0.38264435839995825,0.0,0.0,0.19263348424057564,
799,48,31.44473,0.0,1.0,0.0,0.0,0.0,
797,999,317.3914,1.0,0.0,0.0,0.0,0.0,
798,759,26.52504,1.0,0.0,0.0,0.0,0.0,
798,15,35.98878,1.0,0.0,0.0,0.0,0.0,
800,392,242.73082,0.5517647903138134,0.4482352096861865,0.0,0.0,0.0,
800,799,15.652439999999999,0.0,0.0,1.0,0.0,0.0,
793,793,10.64742,0.0,0.0,0.0,0.0,1.0,
